station,latitude,longitude,elevation
P072,39.52,-116.74,2061.20
P073,39.50,-116.42,1942.61
P074,39.55,-116.05,1947.69
P075,39.37,-115.89,1881.62
P076,39.54,-115.51,2006.05
P077,39.39,-115.43,2334.21
P078,40.43,-117.88,1444.84
P079,39.26,-114.69,2746.37
P080,39.12,-114.28,1972.90
P081,39.07,-113.87,1588.15
P082,39.27,-113.51,1381.00
P083,40.32,-117.47,1642.70
P084,40.49,-113.05,1432.81
P085,40.50,-116.74,1661.21
P087,40.36,-116.28,2358.40
P088,40.77,-111.72,1920.46
P090,39.57,-119.80,1503.67
P091,36.61,-117.53,1966.87
P092,36.80,-117.41,2157.09
P093,36.61,-117.99,1339.08
P094,37.20,-117.70,1729.24
P095,39.70,-119.54,1608.81
P096,39.80,-119.31,1243.30
P097,39.84,-118.87,1210.39
P098,39.89,-118.68,1286.58
P099,39.21,-118.16,2455.68
P100,41.86,-113.29,1883.49
P101,41.69,-111.24,2016.13
P102,39.92,-115.56,2718.10
P103,39.35,-113.04,1491.40
P104,39.19,-112.72,1397.58
P105,39.39,-112.50,1431.48
P106,39.46,-112.26,1559.54
P107,35.13,-107.88,1991.67
P108,39.59,-111.94,1683.27
P109,39.60,-111.65,1760.97
P110,39.72,-111.57,2266.22
P111,41.82,-113.01,1366.23
P112,39.82,-111.45,1930.39
P113,40.67,-113.28,1317.64
P114,40.63,-112.53,1352.37
P115,40.47,-112.43,1641.99
P116,40.43,-112.01,2034.74
P117,40.44,-111.75,1628.97
P118,40.64,-111.35,2082.60
P119,40.73,-111.26,2045.40
P120,35.01,-105.63,2089.68
P121,41.80,-112.70,1452.45
P122,41.64,-112.33,1293.20
P123,36.64,-105.91,2411.20
P124,41.56,-111.96,1772.96
P125,41.59,-111.90,1521.40
P126,41.58,-111.78,1871.73
P127,39.50,-119.60,1523.93
P128,39.49,-119.07,1320.01
P129,39.13,-118.45,1714.13
P130,39.27,-118.94,1380.08
P131,39.45,-118.35,1825.07
P132,38.73,-118.00,1549.70
P133,38.72,-118.46,1781.83
P134,38.98,-118.93,1886.00
P135,38.70,-119.02,1692.15
P136,38.76,-119.46,1773.27
P137,40.78,-119.48,1331.79
P138,40.24,-119.01,1243.72
P139,39.91,-119.72,1523.00
P140,38.83,-120.69,1079.23
P141,39.05,-120.39,2170.37
P142,39.12,-119.81,1784.93
P143,38.76,-119.76,1733.59
P144,39.47,-120.89,1436.87
P145,41.36,-119.62,1755.20
P146,39.34,-120.54,2347.29
P147,39.94,-120.28,2488.91
P148,40.42,-120.81,1584.55
P149,39.60,-120.10,2634.69
P150,39.29,-120.03,2619.08
P151,40.29,-120.08,1313.06
P154,41.81,-123.36,319.90
P155,41.27,-123.19,1784.09
P156,40.02,-123.91,489.01
P157,40.25,-124.31,695.83
P158,40.42,-124.11,873.73
P159,40.50,-124.28,608.22
P160,40.55,-124.13,94.24
P161,40.64,-124.21,32.44
P162,40.69,-124.24,-6.46
P163,40.22,-124.06,425.29
P164,40.12,-123.69,1148.32
P165,40.25,-123.85,545.66
P166,40.44,-123.86,665.30
P167,40.54,-123.88,1021.17
P168,40.67,-123.88,1093.49
P169,40.79,-123.97,689.40
P170,40.88,-123.86,918.17
P171,36.49,-121.79,572.76
P172,36.23,-121.77,312.63
P173,35.95,-121.29,339.25
P174,36.30,-121.05,342.14
P175,36.43,-121.13,451.40
P176,37.47,-122.36,433.82
P177,37.53,-122.50,71.80
P178,37.53,-122.33,129.06
P179,42.10,-123.69,402.22
P180,36.29,-121.40,693.20
P181,37.91,-122.38,72.22
P182,38.50,-123.18,396.80
P183,38.31,-123.07,10.41
P184,39.12,-123.71,108.96
P185,39.26,-123.75,146.36
P186,39.15,-123.52,372.82
P187,39.35,-123.60,164.05
P188,38.67,-123.23,208.88
P189,38.99,-123.35,176.96
P190,39.24,-123.20,202.82
P191,42.28,-123.63,371.41
P192,39.32,-123.11,259.72
P193,38.12,-122.91,66.60
P194,38.19,-122.82,235.13
P195,38.66,-122.96,146.85
P196,38.30,-122.74,90.54
P197,38.43,-122.77,0.03
P198,38.26,-122.61,-4.62
P199,38.26,-122.50,55.66
P200,38.24,-122.45,-25.09
P201,38.56,-122.66,349.36
P202,38.42,-122.50,584.09
P203,38.87,-122.92,926.71
P204,38.67,-122.71,276.66
P205,39.40,-122.96,771.09
P206,38.78,-122.58,283.61
P207,39.26,-122.72,1826.60
P208,39.11,-122.30,74.31
P209,37.07,-122.13,577.16
P210,36.82,-121.73,3.05
P211,36.88,-121.70,60.56
P212,36.96,-121.86,36.60
P213,37.20,-121.99,167.11
P214,37.00,-121.80,73.29
P215,37.05,-121.76,708.62
P216,37.00,-121.73,336.93
P217,37.10,-121.65,72.31
P218,37.20,-121.71,82.71
P219,37.34,-122.28,300.90
P220,37.33,-122.21,705.27
P221,37.34,-122.10,155.32
P222,37.54,-122.08,53.52
P223,37.72,-122.10,139.96
P224,37.86,-122.22,407.36
P225,37.71,-122.06,117.16
P226,37.34,-121.83,5.09
P227,37.53,-121.79,707.45
P228,37.60,-121.69,399.03
P229,37.75,-121.98,289.34
P230,37.82,-121.79,648.01
P231,36.62,-121.91,-26.33
P232,36.72,-121.58,105.36
P233,36.80,-121.42,196.84
P234,36.86,-121.59,92.60
P235,36.81,-121.54,361.70
P236,36.90,-121.55,56.17
P237,36.64,-121.39,711.58
P238,36.85,-121.45,44.92
P239,36.96,-121.55,18.53
P240,37.01,-121.54,25.76
P241,37.21,-121.57,834.24
P242,36.95,-121.46,14.76
P243,36.92,-121.34,220.78
P244,37.01,-121.35,58.73
P245,37.71,-119.71,1579.85
P247,36.56,-121.19,569.10
P248,37.98,-121.87,229.83
P249,36.61,-121.06,1155.76
P250,36.95,-121.27,584.71
P251,36.81,-121.35,128.26
P252,37.17,-121.06,40.17
P253,37.48,-121.65,1065.08
P254,37.49,-121.47,1076.20
P255,37.58,-121.32,73.53
P256,37.93,-121.60,-30.69
P257,37.76,-121.46,-24.68
P258,37.39,-121.28,390.82
P259,37.43,-121.10,3.85
P261,38.15,-122.22,118.16
P262,38.03,-122.10,-8.55
P263,38.58,-122.43,554.40
P264,38.44,-122.20,231.05
P265,38.53,-121.95,8.04
P266,38.18,-121.84,22.46
P267,38.38,-121.82,-17.50
P268,38.47,-121.65,-23.95
P269,39.00,-122.35,298.24
P270,39.24,-122.06,-12.32
P271,38.66,-121.71,-18.34
P272,39.15,-121.94,-12.07
P273,38.12,-121.39,-26.47
P274,38.28,-121.46,-27.81
P275,38.32,-121.21,-5.26
P276,38.65,-121.10,207.28
P277,37.19,-122.37,115.31
P278,35.71,-121.06,465.91
P279,35.79,-121.06,469.94
P280,35.54,-120.35,476.45
P281,35.84,-120.39,383.84
P282,35.84,-120.35,394.71
P283,35.81,-120.29,434.22
P284,35.93,-120.91,512.23
P285,36.42,-120.98,805.77
P286,36.52,-120.85,538.84
P287,36.02,-120.70,609.77
P288,36.14,-120.88,397.73
P289,36.11,-120.75,540.68
P290,36.18,-120.73,987.78
P291,35.92,-120.64,661.38
P292,36.01,-120.48,1018.64
P293,36.09,-120.54,538.88
P294,36.12,-120.44,509.43
P295,35.70,-120.84,583.51
P296,36.05,-120.36,265.35
P297,35.97,-120.55,629.32
P298,36.02,-120.29,323.27
P299,36.26,-120.71,809.41
P300,36.30,-120.28,137.31
P301,36.81,-120.74,89.24
P302,36.63,-120.62,122.65
P303,37.05,-120.71,-2.15
P304,36.74,-120.36,16.99
P305,37.35,-120.20,96.07
P306,37.80,-120.64,82.53
P307,36.95,-120.06,49.05
P308,37.90,-119.84,1501.88
P309,38.09,-120.95,41.42
P310,38.74,-120.33,1791.33
P311,37.18,-118.52,3698.67
P312,39.53,-123.70,254.90
P313,39.55,-123.56,651.76
P314,39.69,-123.58,1251.94
P315,39.86,-123.72,257.95
P316,41.56,-124.09,234.97
P317,39.91,-123.55,1118.66
P318,39.45,-123.37,594.95
P319,39.71,-123.30,513.06
P320,39.49,-123.19,392.44
P321,39.90,-123.39,1133.67
P322,39.96,-123.18,1433.94
P324,40.26,-123.66,509.37
P325,41.15,-123.88,914.59
P326,40.58,-123.70,1261.71
P327,40.48,-123.57,710.08
P329,40.08,-123.45,1034.63
P330,40.32,-123.14,1653.02
P331,40.73,-123.32,1541.99
P332,40.55,-123.17,684.50
P333,39.62,-122.98,2008.85
P334,39.49,-122.74,1936.25
P335,39.73,-122.87,2229.50
P336,39.53,-122.43,286.73
P337,40.30,-122.87,1193.34
P338,40.75,-122.92,672.22
P339,40.03,-122.67,979.58
P340,39.41,-123.05,864.72
P341,40.65,-122.61,406.85
P343,40.89,-123.33,1617.48
P344,39.93,-122.03,49.76
P345,40.27,-122.27,134.07
P346,39.79,-120.87,2037.36
P347,41.18,-120.95,1268.82
P348,40.91,-121.83,1668.07
P349,40.73,-122.32,275.40
P350,43.53,-114.86,2388.36
P351,43.87,-114.72,2692.61
P352,43.85,-114.10,2474.68
P353,44.05,-113.98,2041.02
P354,44.11,-113.98,2000.30
P355,44.22,-113.72,2329.23
P356,43.82,-110.49,2227.73
P357,44.23,-113.58,2295.36
P358,44.40,-113.24,2419.39
P359,43.48,-111.53,2116.46
P360,44.32,-111.45,1857.85
P361,44.56,-111.44,2930.94
P362,42.21,-124.23,1012.41
P364,43.09,-124.41,6.47
P365,43.40,-124.25,27.11
P366,43.61,-123.98,529.11
P367,44.59,-124.06,22.93
P368,42.50,-123.38,319.46
P369,43.14,-123.43,190.05
P370,42.19,-122.66,555.06
P371,43.36,-123.06,1198.07
P372,45.43,-117.25,1208.32
P373,43.62,-123.33,169.93
P374,44.38,-123.59,73.23
P375,44.69,-123.43,99.23
P376,44.94,-123.10,180.88
P377,44.05,-122.89,142.41
P378,44.53,-122.93,83.14
P380,42.26,-121.78,1390.83
P381,43.00,-119.95,1567.47
P382,43.18,-121.77,1453.24
P383,44.34,-122.22,1295.59
P384,44.84,-122.48,1182.58
P385,44.43,-121.95,1120.82
P386,44.40,-118.97,1103.51
P387,44.30,-121.57,962.62
P388,42.47,-120.38,1405.76
P389,43.81,-120.60,1397.45
P390,43.03,-118.93,1554.86
P391,42.25,-118.41,1834.25
P392,43.45,-119.00,1315.53
P393,43.23,-117.89,1238.32
P394,44.83,-117.80,1010.71
P395,45.02,-123.86,53.05
P396,45.31,-123.82,54.58
P397,46.42,-123.80,566.32
P398,46.93,-123.92,23.52
P399,47.43,-123.61,919.45
P400,47.51,-123.81,65.03
P401,47.94,-124.56,36.23
P402,47.77,-124.31,23.75
P403,48.06,-124.14,284.71
P404,45.16,-123.39,79.05
P405,45.63,-123.64,955.67
P406,45.19,-123.15,27.29
P407,45.95,-123.93,-13.08
P408,46.20,-123.38,35.29
P409,45.85,-123.24,177.30
P410,46.11,-123.08,173.13
P411,45.54,-123.16,83.41
P412,45.22,-122.59,53.22
P413,48.43,-120.15,501.27
P414,45.83,-122.69,63.85
P415,46.66,-123.73,-15.39
P416,47.04,-121.60,1576.52
P417,46.57,-123.30,102.47
P418,47.24,-123.41,115.16
P419,47.41,-123.37,935.98
P420,46.59,-122.87,74.11
P421,46.53,-122.43,220.58
P422,46.80,-116.98,843.73
P423,47.29,-122.94,39.97
P424,47.82,-122.87,-1.56
P425,46.45,-122.85,64.27
P426,47.80,-122.51,3.33
P427,45.43,-122.34,149.21
P429,45.68,-121.88,25.56
P431,46.57,-121.99,1422.71
P432,46.62,-121.68,318.89
P433,44.53,-119.87,1158.69
P434,47.74,-121.08,1698.03
P435,48.06,-123.50,287.34
P436,48.05,-123.13,190.91
P437,48.00,-122.46,12.47
P438,48.42,-122.67,-9.90
P439,48.71,-122.91,-13.86
P440,48.86,-122.49,6.37
P441,48.92,-122.14,115.21
P442,48.26,-121.62,146.90
P443,48.51,-121.29,1062.12
P444,48.73,-121.07,493.89
P445,45.59,-120.67,436.08
P446,46.12,-122.89,-16.45
P447,45.45,-119.69,471.24
P448,45.91,-120.01,261.44
P449,46.26,-119.63,208.44
P450,45.95,-119.54,163.68
P451,46.79,-119.04,351.44
P452,47.40,-119.49,323.07
P453,47.76,-118.75,644.23
P454,47.95,-118.99,478.96
P455,44.49,-112.73,2593.94
P456,44.86,-111.23,2956.33
P457,45.04,-111.27,2261.94
P458,44.77,-111.30,2393.92
P459,43.75,-110.75,2135.67
P460,45.14,-111.03,2197.83
P461,45.35,-110.76,1544.09
P462,36.07,-116.63,1334.41
P463,36.02,-117.16,1327.02
P464,36.16,-117.41,911.55
P465,36.47,-118.13,2901.56
P466,36.53,-117.79,2754.60
P467,36.57,-118.09,1380.14
P468,36.98,-118.12,2853.33
P469,37.23,-117.94,1794.85
P470,34.46,-117.39,991.40
P471,33.56,-117.54,174.77
P472,32.89,-117.10,137.85
P473,32.73,-116.95,188.56
P474,33.36,-117.25,182.92
P475,32.67,-117.24,-25.04
P476,33.44,-117.19,309.76
P477,33.50,-117.11,334.47
P478,33.24,-117.07,371.58
P479,33.49,-116.78,1093.84
P480,32.98,-116.35,436.04
P481,32.82,-116.01,610.91
P482,33.24,-116.67,878.72
P483,33.06,-116.57,1375.56
P484,33.38,-116.62,1382.49
P485,33.21,-116.41,372.16
P486,33.26,-116.32,126.27
P487,33.21,-116.18,90.25
P488,33.20,-116.08,61.74
P489,33.30,-116.11,290.33
P490,33.52,-116.43,2622.45
P491,33.57,-116.23,4.27
P492,32.89,-115.97,68.85
P493,32.95,-115.82,197.51
P494,32.76,-115.73,-44.27
P495,33.04,-115.63,-84.04
P496,32.75,-115.60,-40.06
P497,32.83,-115.58,-50.99
P498,32.90,-115.57,-58.03
P499,32.98,-115.49,-74.20
P500,32.69,-115.30,-20.59
P501,32.88,-115.40,-55.69
P502,32.98,-115.42,-66.05
P503,32.95,-115.72,6.14
P504,33.52,-115.77,84.02
P505,33.42,-115.69,-57.78
P506,33.08,-115.51,-83.42
P507,33.20,-115.61,-78.54
P508,33.25,-115.43,10.71
P509,32.89,-115.29,-29.63
P510,33.14,-115.34,1.53
P511,33.89,-115.30,273.35
P512,37.56,-119.69,1344.73
P513,34.91,-120.65,284.59
P514,35.01,-120.41,140.93
P515,34.87,-120.24,290.64
P516,35.11,-120.38,263.00
P517,34.38,-118.18,1959.19
P518,35.02,-120.08,1101.81
P519,34.51,-119.79,810.92
P520,34.63,-119.62,1250.84
P521,34.89,-119.82,1709.09
P522,35.09,-119.54,991.11
P523,35.30,-120.86,41.39
P525,35.43,-120.81,271.39
P526,35.64,-120.87,416.85
P527,35.75,-120.60,347.94
P528,35.33,-120.55,367.38
P529,35.44,-120.35,437.35
P530,35.62,-120.48,388.38
P531,35.79,-120.54,440.14
P532,35.63,-120.27,533.27
P533,35.75,-120.37,603.21
P534,37.06,-122.24,204.27
P535,35.24,-120.10,571.58
P536,35.28,-120.03,665.39
P537,35.32,-119.94,581.84
P538,35.53,-120.11,641.21
P539,35.70,-120.18,601.12
P540,35.80,-120.13,393.69
P541,35.69,-120.00,209.22
P542,35.69,-120.29,587.98
P543,35.32,-119.71,544.06
P544,35.73,-119.74,33.60
P545,35.50,-119.54,50.68
P546,35.93,-120.15,635.28
P547,35.93,-119.91,45.89
P548,34.47,-119.50,1134.86
P549,34.60,-119.33,1250.30
P550,34.66,-119.11,1526.15
P551,34.86,-119.15,1550.33
P552,35.69,-120.24,581.69
P553,34.84,-118.88,1335.87
P554,34.79,-118.85,1170.16
P555,34.69,-118.67,1096.00
P556,34.77,-118.55,852.63
P557,34.94,-118.66,1818.23
P558,35.14,-118.61,1411.47
P560,34.82,-118.54,838.30
P561,34.62,-118.40,974.42
P563,35.42,-119.42,56.57
P564,35.62,-119.35,60.67
P565,35.74,-119.24,62.78
P566,36.32,-119.23,78.06
P567,35.42,-118.75,706.35
P568,35.25,-118.13,1301.24
P569,35.38,-118.12,1275.74
P570,35.67,-118.26,810.89
P571,36.23,-118.77,914.22
P572,36.59,-118.95,1167.34
P573,36.09,-118.26,2441.39
P574,34.29,-117.63,2873.79
P575,34.22,-117.54,1928.42
P576,35.67,-120.97,324.43
P577,34.30,-117.32,999.57
P578,35.69,-120.24,536.30
P579,35.04,-118.01,834.23
P580,35.62,-117.19,1669.64
P581,34.51,-117.73,972.81
P582,34.63,-117.55,848.04
P583,34.99,-117.54,730.77
P584,33.89,-116.95,738.76
P585,34.02,-116.55,958.16
P586,34.53,-117.28,809.41
P587,34.33,-118.03,1600.78
P588,34.79,-117.27,709.79
P589,34.62,-117.11,1148.07
P590,35.12,-117.36,678.53
P591,35.15,-118.02,708.84
P592,35.24,-117.30,1049.34
P593,35.39,-117.21,1375.78
P594,35.90,-117.39,937.43
P595,35.70,-117.40,644.48
P596,36.00,-116.89,430.49
P597,35.71,-116.89,1194.17
P598,34.19,-116.71,2746.49
P599,34.22,-116.54,1323.91
P600,33.87,-116.21,792.09
P601,33.96,-116.08,1242.65
P602,35.73,-120.23,648.25
P603,34.72,-116.03,624.72
P604,34.94,-116.67,588.45
P605,34.34,-117.94,2419.74
P606,34.46,-116.88,863.37
P607,33.74,-115.82,958.73
P608,33.99,-115.69,632.32
P609,34.06,-116.89,2721.24
P610,34.43,-115.76,343.85
P611,35.20,-115.65,1333.04
P612,34.19,-117.32,531.73
P613,34.20,-117.05,2355.17
P614,34.73,-115.25,491.00
P615,35.20,-116.76,995.16
P616,35.42,-117.89,1071.21
P617,35.32,-116.57,887.70
P618,35.14,-116.10,263.39
P619,35.53,-116.12,388.95
P620,35.79,-116.14,668.73
P621,35.47,-115.54,1420.52
P622,35.16,-115.37,1524.48
P623,34.19,-114.60,267.76
P625,34.84,-114.97,606.79
P626,35.29,-115.24,1442.78
P627,37.97,-118.38,2342.16
P628,37.93,-119.25,2924.45
P629,37.38,-119.18,2725.69
P630,37.61,-119.00,2740.63
P631,37.61,-118.92,2659.86
P632,37.79,-119.09,2389.83
P633,37.91,-119.03,2293.04
P634,37.70,-119.03,2467.47
P635,37.84,-119.14,2484.22
P636,37.96,-119.15,2739.08
P637,37.91,-119.08,2031.69
P638,37.73,-118.94,2491.95
P639,37.65,-118.87,2339.36
P640,37.89,-118.96,2200.95
P641,37.88,-118.85,2527.21
P642,37.59,-118.82,2667.41
P643,37.56,-118.70,2122.02
P644,37.50,-118.68,3458.65
P645,37.54,-118.59,2007.73
P646,37.68,-118.82,2102.06
P647,37.75,-118.77,2235.57
P648,37.80,-119.02,2572.42
P649,37.90,-118.74,2153.98
P650,37.89,-118.55,2298.21
P651,37.56,-118.39,1316.73
P652,37.59,-118.24,3865.31
P653,37.74,-118.47,1826.32
P654,38.06,-119.15,2053.49
P655,41.29,-122.21,1542.53
P656,41.34,-122.20,2398.75
P657,41.38,-122.29,1684.45
P658,41.48,-122.19,1915.19
P659,41.45,-122.09,1791.10
P660,41.41,-122.07,1587.21
P661,41.46,-122.31,1324.19
P663,41.53,-122.15,2238.02
P664,40.47,-121.50,2569.05
P665,40.46,-121.53,2326.73
P666,40.47,-121.51,2471.47
P667,40.47,-121.47,2333.98
P668,40.51,-121.46,1982.45
P669,40.49,-121.60,1842.93
P670,40.54,-121.58,1731.73
P671,40.41,-121.43,1958.79
P672,41.71,-121.51,1435.09
P673,41.59,-121.61,2017.84
P674,41.62,-121.49,1897.20
P675,42.21,-112.72,1559.13
P676,44.65,-111.34,2189.81
P677,42.88,-113.87,1284.82
P678,43.45,-112.80,1535.35
P679,44.04,-113.31,1936.42
P680,44.60,-111.10,2315.94
P681,44.40,-112.64,1976.07
P682,42.50,-110.91,2324.00
P683,42.83,-111.73,2065.71
P684,43.92,-111.45,1693.93
P685,44.07,-111.83,1606.83
P686,44.25,-111.16,2165.31
P687,46.11,-122.35,391.10
P688,46.03,-122.16,1165.75
P689,46.19,-122.36,1359.45
P690,46.18,-122.19,2078.90
P691,46.23,-122.23,1182.90
P692,46.22,-122.18,1491.86
P693,46.21,-122.20,2112.97
P694,46.30,-122.18,1725.68
P695,46.20,-122.16,2015.66
P696,46.20,-122.15,1600.00
P697,46.19,-122.18,2214.58
P698,46.17,-122.16,1479.37
P700,46.18,-122.22,1521.67
P701,46.19,-122.13,1247.43
P702,46.30,-122.35,1305.71
P703,46.15,-122.20,988.40
P705,46.17,-122.31,1150.86
P706,45.04,-112.52,1810.73
P707,44.72,-111.84,2292.83
P709,44.39,-110.29,2379.73
P710,44.10,-110.73,2172.52
P711,44.64,-110.86,2118.73
P712,44.96,-111.07,2161.52
P714,44.90,-110.74,2250.49
P715,43.50,-109.69,2988.25
P716,44.72,-110.51,2386.65
P717,44.49,-109.90,2270.24
P718,44.75,-109.38,2577.13
P719,45.22,-111.79,1706.35
P720,44.94,-110.31,1923.95
P721,45.00,-110.00,2236.32
P722,45.46,-109.57,1452.79
P723,37.38,-118.72,3197.83
P724,37.44,-118.56,1371.65
P725,37.09,-119.75,330.97
P726,37.28,-118.15,2202.15
P727,37.27,-118.47,2677.23
P728,39.18,-106.97,3426.13
P729,34.26,-119.10,36.05
P730,41.36,-120.83,1822.49
P731,41.33,-120.47,1391.30
P732,43.39,-123.89,582.11
P733,42.44,-124.41,184.59
P734,42.08,-124.29,113.36
P735,42.69,-123.23,1577.70
P736,42.58,-121.88,1259.57
P737,42.73,-122.61,1245.77
P738,42.55,-119.66,1706.78
P739,42.02,-117.73,1351.90
P740,33.60,-116.60,1372.10
P741,33.56,-116.53,1371.29
P742,33.50,-116.60,1142.67
P744,32.83,-115.51,-52.72
P775,40.48,-86.99,182.45
P776,43.54,-71.38,476.95
P777,35.70,-92.55,335.38
P779,35.20,-82.87,878.75
P780,18.08,-66.58,154.10
P783,40.81,-111.41,1819.79
P784,41.83,-122.42,802.26
P786,41.85,-123.98,84.00
P787,36.80,-121.58,113.66
P788,36.74,-121.48,626.65
P789,35.95,-120.47,503.40
P790,35.93,-120.52,553.74
P791,45.34,-121.67,1985.19
P792,46.24,-122.14,1257.16
P793,40.48,-123.57,709.88
P794,39.85,-122.96,2088.63
P795,34.51,-116.15,1095.34
P796,32.50,-114.76,10.18
P797,33.54,-116.59,1403.81
P798,43.80,-110.96,2450.58
P799,33.93,-118.31,24.85
P800,34.02,-118.35,-2.28
P801,44.39,-110.54,2368.67
P802,46.56,-100.62,572.37
P803,46.33,-90.68,414.25
P804,32.96,-84.23,216.39
P805,32.96,-84.23,215.76
P806,32.96,-84.23,215.89
P807,30.49,-98.82,419.03
P808,34.84,-118.62,914.36
P809,35.74,-119.24,62.64
P810,35.74,-119.24,62.44
P811,35.15,-118.02,708.73
P812,35.15,-118.02,708.38
P813,47.76,-118.75,644.06
P814,47.76,-118.75,644.41
P815,47.94,-124.56,36.24
P816,47.94,-124.56,35.77
P817,40.15,-78.51,384.05
P818,45.46,-109.57,1452.49
P819,45.46,-109.57,1453.13
P820,42.86,-124.05,68.84
P821,43.14,-123.43,252.27
PABH,47.21,-124.20,12.92
PAL2,-64.78,-64.05,30.90
PALX,31.56,-116.06,1545.49
PB1Y,32.65,-115.69,0.50
PB2Y,32.61,-115.89,267.94
PBHR,35.71,-121.27,152.24
PBPP,34.51,-117.92,901.96
PCOL,47.17,-122.57,79.15
PDBG,34.21,-106.83,1503.76
PEA1,36.19,-120.76,789.69
PEA2,36.18,-120.77,682.47
PECE,-85.61,-68.56,1494.10
PECL,-37.69,-73.65,103.40
PENA,19.39,-104.10,1491.02
PHIG,-77.53,167.05,3127.00
PHJX,32.49,-115.55,105.45
PHNX,-77.95,166.76,-39.60
PIGT,36.37,-90.18,55.25
PIRT,-81.10,-85.14,1261.10
PJZX,32.42,-115.88,1335.75
PKMN,36.40,25.38,132.55
PKRD,34.07,-118.23,130.89
PLCX,31.26,-116.16,183.00
PLPK,66.90,-34.03,122.35
PLPX,31.59,-115.15,813.51
PLTX,31.82,-115.43,236.53
PMKZ,61.28,-141.92,39.00
PNE2,10.20,-85.83,19.69
POLS,12.65,-86.81,133.28
POMM,35.92,-120.48,597.16
POPT,16.33,-89.41,521.66
PPBF,33.84,-117.18,428.11
PPEC,-0.50,-79.35,246.00
PRCG,17.93,-76.85,-12.53
PRML,17.94,-76.84,-9.61
PRMO,4.80,-75.45,4567.38
PRPT,-66.01,-65.34,15.00
PRX5,39.95,-105.19,1728.85
PSTX,31.31,-115.84,902.14
PTAX,32.38,-115.46,1060.39
PTEX,32.29,-116.52,340.59
PTGV,36.41,-89.70,58.04
PTPA,8.94,-82.14,288.60
PTPP,8.20,-82.88,137.00
PTSG,41.78,-124.26,-10.17
PUIN,3.85,-67.90,96.05
PUJE,10.11,-85.27,29.20
PUMO,10.06,-84.97,17.99
PUPU,47.50,-122.01,542.41
PVRS,33.77,-118.32,59.84
QAAR,70.74,-52.69,53.08
QCY2,36.16,-121.14,101.46
QSEC,9.84,-85.36,17.80
QTIT,30.16,66.99,1683.00
QUEN,12.59,-86.85,449.58
QUEX,32.55,-115.15,-16.23
RAMT,35.34,-117.68,1406.61
RCA2,34.50,-119.72,1179.23
RCHY,16.70,-62.15,313.14
RCSC,33.44,-117.59,160.99
RDAZ,18.45,-70.72,33.43
RDBA,18.28,-70.33,30.19
RDBO,18.95,-70.40,137.59
RDCM,-30.95,-69.08,3178.20
RDCT,29.81,-95.49,6.00
RDF2,19.45,-70.68,183.90
RDHI,18.60,-68.72,61.18
RDLP,-31.93,-69.71,1986.30
RDLT,19.31,-69.55,-13.80
RDMA,19.54,-71.08,65.73
RDMC,19.85,-71.64,-18.86
RDMS,18.98,-69.04,-16.82
RDMT,34.64,-116.62,1783.02
RDNE,18.50,-71.42,91.40
RDON,16.93,-62.35,106.60
RDSD,18.46,-69.91,-9.17
RDSF,19.29,-70.25,76.58
RDSJ,18.82,-71.23,405.15
REC1,-82.81,18.91,2553.20
REC2,-81.71,8.58,2446.00
REDM,44.26,-121.15,919.82
REGI,39.45,16.16,389.00
REPO,36.84,-116.47,1479.47
RG01,34.67,-108.04,2157.55
RG03,33.65,-105.15,1572.62
RG05,32.55,-108.36,1802.32
RG06,32.63,-107.86,1633.22
RG07,32.50,-106.84,1400.70
RG08,32.73,-104.99,1488.66
RG09,36.30,-107.06,2186.82
RG10,36.45,-106.54,2218.01
RG11,36.52,-105.78,2211.24
RG12,36.46,-104.97,2139.45
RG13,36.49,-104.21,2039.56
RG14,39.96,-107.97,2034.53
RG16,39.88,-106.35,2597.69
RG17,39.76,-105.67,2703.89
RG18,39.07,-106.40,2815.45
RG19,39.19,-105.55,2703.74
RG20,37.89,-107.70,3741.45
RG21,37.77,-107.11,2763.91
RG22,37.79,-106.34,2507.18
RG23,37.74,-105.50,2621.24
RG24,37.96,-104.97,2211.93
RG25,33.99,-108.23,2308.53
RG26,39.91,-106.79,2055.58
RHCL,34.02,-118.03,176.89
RIBA,36.46,25.34,46.26
RINK,71.85,-50.99,1337.91
RIOP,-1.65,-78.65,2816.08
RLAP,36.47,-89.35,58.38
RMBO,-83.87,-66.39,784.70
RMJT,27.31,86.55,1332.00
RMVJ,33.49,-117.56,136.40
RN86,41.86,-111.50,2590.80
RNCH,35.90,-120.52,838.83
RNDY,27.60,-82.76,-16.56
ROA0,16.32,-86.53,10.04
ROB4,-77.03,163.19,-41.53
ROBN,-65.25,-59.44,57.90
RSTP,34.88,-118.19,712.73
RSVY,34.54,-119.18,987.43
RUBY,40.62,-115.12,1881.76
S300,37.67,-121.56,495.76
SA06,43.76,-71.69,166.37
SA56,45.95,-66.64,24.38
SA58,45.42,-73.94,24.52
SABD,40.00,48.48,-9.81
SAJU,10.07,-85.71,73.83
SALN,12.62,-86.86,535.00
SAN0,12.58,-81.72,10.13
SBCC,33.55,-117.66,88.68
SC00,46.95,-120.72,1178.40
SC01,34.07,-106.97,2097.41
SC02,48.55,-123.01,-15.02
SC03,47.82,-123.71,2018.51
SCBY,80.26,-59.59,544.41
SCIA,34.61,-117.39,831.46
SCTB,-77.85,166.76,-18.93
SCW2,12.70,-87.02,873.31
